""	peer1	peer2	peer3	peer4	peer5	peer6	peer7	peer8	peer9	peer10	peer11	peer12	peer13	peer14	peer15	peer16	peer17	peer18	peer19	peer20
dbce86f7.fc9c.4346.8466.52a5d73c2135	1	-0.0123944422230124	0.0115510420873761	-0.00204372406005859	-0.000648669083602727	-0.00328775914385915	-0.00874433387070894	0.0844827443361282	1.16482591629028	-0.237863406538963	0.501710951328278	-0.550859153270721	0.454070210456848	-0.331479400396347	-0.756063401699066	0.876539766788483	0.068650022149086	-0.774415135383606	-0.121716074645519	0.215793773531914
X922e8ec1.bb75.4db7.b4b0.e2c08767150e	1	-0.0145481182262301	-0.00175157131161541	-0.00222773081623018	0.00207247352227569	-0.00340392510406673	-0.0163069572299719	0.148966491222382	0.861813187599182	0.053183700889349	-0.0427510477602482	0.229923322796822	0.605704367160797	0.585294723510742	-0.332291454076767	1.52318811416626	-1.90057730674744	-0.187202468514442	0.795263230800629	0.422579497098923
X400d1b08.0088.4624.a3d7.58f720d3ab17	1	-0.0198424588888884	0.00448235310614109	-0.00279336050152779	-0.000613768992479891	-0.00261960597708821	-0.0194233115762472	0.497616529464722	-0.735210537910461	0.161529362201691	0.948862850666046	0.805408895015717	-0.246538326144218	-0.525903284549713	-0.962518334388733	-0.210438191890717	-0.496930867433548	0.60286557674408	0.584256231784821	-0.208496451377869
be37150e.7c80.469b.9781.625803330ef7	1	-0.0180728919804096	0.0358096063137054	0.000837679079268128	0.00593146728351712	-0.0022127372212708	-0.0133530972525477	0.680805206298828	-0.572998344898224	1.90473353862762	0.263639390468597	1.41347312927246	0.0300122182816267	0.25715434551239	-0.130279377102852	-0.345530062913895	0.0493369102478027	-0.18225634098053	0.605801403522492	0.536991238594055
d75861df.2425.4959.bc64.90dd072da61f	1	-0.0192909277975559	-0.152998149394989	0.00158441800158471	-0.00646770233288407	-0.0043431343510747	0.00116359035018832	0.304717093706131	-1.1050797700882	-0.643270313739777	0.944494664669037	0.505364537239075	0.576281607151032	0.417080491781235	-0.502661764621735	0.61192786693573	-0.729757249355316	0.000319734681397676	0.101185373961926	0.94648951292038
a9f699ff.cfaa.4740.bd41.d9c4998635ed	1	-0.0149469701573253	0.024841969832778	-0.00159244344104081	0.00161710637621582	-0.00281856046058238	-0.00570260267704725	0.743508994579315	0.508380115032196	-0.0674038380384445	0.470902234315872	-0.30442076921463	-0.178017318248749	-0.106300942599773	-0.183610528707504	0.784136354923248	-0.0197746958583593	-0.725558340549469	-0.132791057229042	-0.00784550700336695
X882c61d4.2bfc.47f9.906e.538de70256de	1	-0.0178960673511028	0.0662597939372063	-0.00118163356091827	0.00129427819047123	-0.000946135958656669	-0.0130675183609128	1.01201713085175	0.713382840156555	0.0634325221180916	0.470716506242752	0.048964936286211	-0.983974099159241	0.465035080909729	0.525513708591461	0.634610831737518	-0.829657912254334	-0.93230664730072	0.514020442962647	1.10336530208588
X0675d182.c500.4a50.87a9.d32354204372	1	-0.0198694430291653	-0.0357318036258221	-0.00525587424635887	-0.0077677546069026	-0.0112102683633566	-0.00331214396283031	0.434083342552185	0.318674027919769	-0.377091109752655	1.18122029304504	-0.390443325042725	-0.51966667175293	2.95299100875855	-1.44827878475189	0.129129111766815	0.255129426717758	0.278908252716064	-0.289777398109436	-2.40931034088135
X6110d537.d53f.4113.8367.da844c2a5e0e	1	-0.0164395794272423	0.0369368754327297	0.00479867029935122	-0.00260363449342549	-0.000517908076290041	0.000633401214145124	0.583350360393524	-1.11656272411346	-0.0517602115869522	2.11732411384583	-0.288987368345261	-0.301886290311813	-0.702425241470337	0.120633818209171	0.49629271030426	1.68715298175812	-0.408976525068283	0.289333581924439	-0.553329765796661
e2b13ac2.56a2.4eb0.a196.9fc7c30444f1	1	-0.0214145854115486	0.107058495283127	-0.00186204817146063	6.10635470366105e-05	0.0004718346754089	0.0102711627259851	0.802745997905731	0.370275467634201	-1.93659687042236	-0.522264122962952	-1.81411623954773	-0.889145910739899	-1.43486344814301	-0.238825723528862	-1.7745908498764	1.15824234485626	-0.22447282075882	0.502044916152954	1.030308842659
X0c8051f1.4d42.4caf.8cf9.f21a423af28a	1	-0.0143788512796164	0.025337528437376	-0.000248836498940364	-0.000392237445339561	-0.00376840610988438	0.00117532548028976	-0.298742026090622	0.0440447553992271	0.172820344567299	0.593585729598999	-0.575303733348846	1.51566362380981	0.862271070480347	-0.343603909015656	0.554930984973908	0.381797134876251	-0.495660066604614	-0.154093354940414	0.166074931621552
